owner,id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Treshank,7rXzjQUI4Kcbfi8HeOODm,Rise Till We Fall,Will Shepard,0.733,0.742,1.0,-5.278,1.0,0.0311,0.237,0.0,0.207,0.65,106.068,190181.0,4.0
Treshank,6nDKrPlXdpomGBgAlO7Ud,SOS,Avicii,0.802,0.645,5.0,-6.181,0.0,0.0715,0.272,0.0,0.11900000000000001,0.376,100.001,157202.0,4.0
Treshank,4CVOUJki8YUWol3jhLphg,Power,Hardwell,0.49,0.907,5.0,-4.063,0.0,0.10800000000000001,0.00042699999999999997,0.0,0.11599999999999999,0.21,132.05700000000002,148837.0,4.0
Treshank,5lNuqFVMca4vPupY10cH0,No Promises (feat. Demi Lovato),Cheat Codes,0.7390000000000001,0.619,10.0,-6.669,1.0,0.162,0.0572,0.0,0.105,0.58,112.961,222787.0,4.0
Treshank,7IWTIkiWGWNQyYfOLdMrG,Burn Out (feat. Dewain Whitmore),Martin Garrix,0.594,0.722,4.0,-5.751,0.0,0.0398,0.0156,0.0,0.0667,0.40700000000000003,127.87700000000001,200322.0,4.0
Treshank,0DhkTGjEaIHaSxTfC14BF,Lullaby,R3HAB,0.626,0.8,1.0,-3.988,0.0,0.035,0.0267,0.000138,0.0623,0.258,127.96600000000001,160184.0,4.0
Treshank,23L5CiUhw2jV1OIMwthR3,In the Name of Love,Martin Garrix,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.45399999999999996,0.168,133.99,195707.0,4.0
Treshank,7Fv8Qp3tTSbSS2VjryUF7,Revolution,The Score,0.574,0.833,8.0,-6.239,0.0,0.0563,0.0611,0.0,0.105,0.574,86.008,231987.0,4.0
Treshank,1hZk9dktp4yRFTm0Trycu,If I Lose Myself - Alesso vs OneRepublic,OneRepublic,0.523,0.782,2.0,-4.846,1.0,0.040999999999999995,0.21899999999999997,1.0300000000000001e-05,0.133,0.16399999999999998,125.99799999999999,214813.0,4.0
Treshank,7GqWnsKhMtEW0nzki5o0d,Killer Queen - Remastered 2011,Queen,0.535,0.65,10.0,-6.327999999999999,1.0,0.0554,0.379,0.0,0.14,0.61,117.18799999999999,179600.0,4.0
Treshank,1fu5IQSRgPxJL2OTP7FVL,I See Fire,Ed Sheeran,0.633,0.0519,10.0,-21.107,0.0,0.0365,0.562,0.0,0.09699999999999999,0.204,76.03399999999999,300747.0,4.0
Treshank,1Nj2oBISdFDSF8eDuXcAL,Start Again (feat. Logic),OneRepublic,0.564,0.722,1.0,-5.59,0.0,0.124,0.162,0.0,0.0931,0.276,99.083,165627.0,4.0
Treshank,2Gl0FzuLxflY6nPifJp5D,First Time,Kygo,0.633,0.5920000000000001,0.0,-7.245,0.0,0.11199999999999999,0.19699999999999998,0.0,0.099,0.679,90.066,193511.0,4.0
Treshank,6rrKbzJGGDlSZgLphopS4,Unstoppable,The Score,0.485,0.843,1.0,-3.9930000000000003,0.0,0.0467,0.0012900000000000001,1.01e-05,0.14,0.602,78.001,192107.0,4.0
Treshank,6NaBDHz9C7Uz9Z9CwLXQi,Bleeding Out,Imagine Dragons,0.299,0.754,5.0,-4.078,0.0,0.0732,0.0195,1.3e-06,0.10300000000000001,0.295,169.373,221053.0,4.0
Treshank,5d41vXH0zvpwUrHrmqKqD,Love,Imagine Dragons,0.6970000000000001,0.507,8.0,-6.178,1.0,0.04,0.0535,1.19e-06,0.0469,0.382,82.48299999999999,166360.0,4.0
Treshank,4NzMOnvSJVNKF7nw5NkXI,bury a friend,Billie Eilish,0.905,0.389,8.0,-14.505,1.0,0.332,0.74,0.162,0.106,0.196,120.046,193143.0,4.0
Treshank,4HuHoYjNcbGIHFpRVbRj2,Pump It,Black Eyed Peas,0.647,0.925,9.0,-3.157,1.0,0.17600000000000002,0.00949,0.0,0.564,0.753,153.66899999999998,213613.0,4.0
Treshank,4XYsx8ga3fGwEFOOcauPZ,Return of the Tres,Delinquent Habits,0.725,0.8,1.0,-6.829,0.0,0.111,9.120000000000001e-05,0.00271,0.0951,0.47100000000000003,100.609,254640.0,4.0
Treshank,5vdp5UmvTsnMEMESIF2Ym,Another One Bites The Dust - Remastered 2011,Queen,0.9329999999999999,0.528,5.0,-6.472,0.0,0.161,0.11199999999999999,0.312,0.163,0.754,109.96700000000001,214653.0,4.0
Treshank,7h2yhVxcZOGyQdOwD4Hu8,I Want To Break Free - Remastered 2011,Queen,0.795,0.433,4.0,-8.927,1.0,0.0324,0.0853,0.00028399999999999996,0.0762,0.6,108.947,258013.0,4.0
Treshank,7ccI9cStQbQdystvc6Tvx,We Are The Champions - Remastered 2011,Queen,0.268,0.45899999999999996,7.0,-6.9479999999999995,0.0,0.0346,0.37799999999999995,0.0,0.11900000000000001,0.172,64.223,179200.0,4.0
Tushar,3bnVBN67NBEzedqQuWrpP,Tear in My Heart,Twenty One Pilots,0.655,0.632,2.0,-4.802,1.0,0.0489,0.0189,0.0,0.0722,0.447,120.113,188493.0,4.0
Tushar,1KGzuR5mFeX4HqpnbWSFq,Chlorine,Twenty One Pilots,0.609,0.674,10.0,-7.388,0.0,0.0548,0.0735,0.06,0.345,0.315,90.009,324467.0,4.0
Tushar,1rqqCSm0Qe4I9rUvWncao,High Hopes,Panic! At The Disco,0.579,0.904,5.0,-2.7289999999999996,1.0,0.0618,0.193,0.0,0.064,0.6809999999999999,82.014,190947.0,4.0
Tushar,60a0Rd6pjrkxjPbaKzXjf,In the End,Linkin Park,0.556,0.8640000000000001,3.0,-5.87,0.0,0.0584,0.00958,0.0,0.209,0.4,105.14299999999999,216880.0,4.0
Tushar,2P61EK6DMGyVyssLWS4fK,Lane Boy,Twenty One Pilots,0.616,0.8109999999999999,7.0,-4.803999999999999,1.0,0.0626,0.0573,1.57e-05,0.0566,0.9129999999999999,159.929,253093.0,4.0
Tushar,1s9xuJxhYM0LdVqksjegc,Fairly Local,Twenty One Pilots,0.715,0.723,6.0,-5.992999999999999,0.0,0.0569,0.0396,8.57e-05,0.084,0.479,114.985,207160.0,4.0
Tushar,40sRwFjfrRnaTdYPJIg4C,Hometown,Twenty One Pilots,0.6829999999999999,0.753,2.0,-5.564,0.0,0.0317,0.0577,0.0020800000000000003,0.35700000000000004,0.389,120.03,234947.0,4.0
Tushar,4Oyl6oYSNeeZZP0OAxPVa,Message Man,Twenty One Pilots,0.715,0.838,2.0,-6.077000000000001,0.0,0.11800000000000001,0.0897,0.0,0.15,0.49700000000000005,120.007,240080.0,4.0
Tushar,7GDDxCiTyiQuC1kig8AqF,Next Year - RAC Remix,Two Door Cinema Club,0.731,0.73,7.0,-6.728,1.0,0.0489,0.28,0.0,0.08800000000000001,0.397,123.051,286093.0,4.0
Tushar,3CRDbSIZ4r5MsZ0YwxuEk,Stressed Out,Twenty One Pilots,0.7340000000000001,0.637,4.0,-5.6770000000000005,0.0,0.141,0.0462,2.2899999999999998e-05,0.0602,0.648,169.977,202333.0,4.0
Tushar,5L79aNYCTKiZq7vaOElXY,"Gone, Gone, Gone",Phillip Phillips,0.664,0.642,6.0,-5.961,1.0,0.038,0.129,0.0,0.114,0.501,118.00200000000001,209693.0,4.0
Tushar,6t6oULCRS6hnI7rm0h5gw,Some Nights,fun.,0.672,0.738,0.0,-7.045,1.0,0.0506,0.0178,6.75e-05,0.0927,0.392,107.93799999999999,277040.0,4.0
Tushar,70mHIUa4beJjFpBNyHYwT,Taste The Feeling (Avicii Vs. Conrad Sewell),Avicii,0.633,0.79,6.0,-4.529,1.0,0.0539,0.0335,0.0,0.0626,0.5579999999999999,89.93299999999999,191066.0,4.0
Tushar,0Zbbxnx4SGGHoIow4PpIS,Stargazing,Kygo,0.677,0.49700000000000005,5.0,-5.763,1.0,0.0809,0.152,0.0,0.0911,0.419,99.137,236853.0,4.0
Tushar,1LrrehEWmldzxiqqRIuik,Fade,Egyptian,0.584,0.6679999999999999,11.0,-7.885,1.0,0.031,0.0035399999999999997,2.9999999999999997e-05,0.11,0.214,89.964,182667.0,4.0
Tushar,0e7ipj03S05BNilyu5bRz,rockstar (feat. 21 Savage),Post Malone,0.585,0.52,5.0,-6.136,0.0,0.0712,0.124,7.01e-05,0.131,0.129,159.80100000000002,218147.0,4.0
Tushar,05sCp83gcMm1iecYydKJS,Let's Hurt Tonight,OneRepublic,0.359,0.713,5.0,-4.526,1.0,0.0366,0.33,0.0,0.324,0.272,61.519,194520.0,4.0
